Mrich_1,MSI_1,time01,time
2.857142857,0.656962828,0,-5
2.714285714,0.650066847,0,-4
2.714285714,0.604656743,0,-3
2.944444444,0.587475185,0,-2
3.04,0.585736895,0,-1
3.913043478,0.58025026,0,0
4.863636364,0.459436611,1,1
6.130434783,0.404516768,1,2
6.125,0.398079175,1,3
6.173913043,0.435699396,1,4
6.291666667,0.415261139,1,5
