Mrich_1,MSI_1,MPDI_1,time01,time
1.909090909,0.668069774,0.744492754,0,1
1.692307692,0.835774858,0.91438066,0,2
2.181818182,0.693606704,0.812237611,0,3
2.571428571,0.452685462,0.636039761,0,4
3.416666667,0.539080685,0.778942922,0,5
3.5,0.619007348,0.847268505,1,6
4.857142857,0.397131719,0.696066421,1,7
4.583333333,0.447773236,0.711741158,1,8
4.857142857,0.376965399,0.689052437,1,9
5.222222222,0.391216625,0.712702296,1,10
